priority,domain,method,core_path,capability_ids,verified_status,owner,p0_action,job_freshness_sec,notes
P0,auth,POST,/auth/token,,Live,Core,bind,,JWT issuance; login once then Bearer on all requests. 7-day default expiry.
P0,auth,DELETE,/auth/token,,Live,Core,bind,,Revoke token.
P0,system,GET,/system/device/info,"sys.about; system.about",Live,Core,bind,,Returns model hostname software_version mode.
P0,system,GET,/system/device/stats,"sys.summary; system.summary",Live,Core,bind,,CPU RAM disk temp uptime. Card menu should align here not /info.
P0,system,GET,/system/device/model,,Live,Core,bind,,Model only.
P0,system,GET,/system/battery,system.battery,Live,Core,bind,,Reads /sys/class/power_supply. Returns present=false when absent.
P0,system,GET,/system/datetime,"sys.tz.show; system.date",Live,Core,bind,,timedatectl with /etc/timezone fallback.
P0,system,GET,/system/timezone,sys.tz.get,Live,Core,bind,,timedatectl or /etc/timezone.
P0,system,GET,/system/timezone/list,sys.tz.list,Live,Core,bind,,timedatectl list-timezones.
P0,system,POST,/system/timezone/set,"sys.tz.set; system.timezone.set",Live,Core,bind,,wlanpi-timezone script or timedatectl set-timezone.
P0,system,POST,/system/timezone/auto,system.timezone.auto,Gap,Core,build,,Enable NTP auto. fpms2-only capability.
P0,system,GET,/system/reg-domain,"sys.rf.show; system.reg_domain.show",Live,Core,bind,,wlanpi-reg-domain or iw reg get.
P0,system,POST,/system/reg-domain/set,"sys.rf.set; system.reg_domain.set_*",Live,Core,bind,,Body {country}. wlanpi-reg-domain or iw reg set.
P0,system,GET,/system/reg-domain/list,sys.rf.list,Live,Core,bind,,Fixed FPMS country set (US CA GB BR FR CZ NL DE NO).
P0,system,POST,/system/reboot,"sys.restart; system.reboot",Gap,Core,build,,Auth-gated. Reboot persistence handles namespace via existing startup recovery.
P0,system,POST,/system/shutdown,"sys.shutdown; system.shutdown",Gap,Core,build,,Auth-gated.
P0,system,POST,/system/mode/switch,"mode.hotspot; mode.server; mode.bridge; mode.classic; mode.wconsole",Gap,Core,build,,Body {mode}. API must work in any mode. Namespace activate/deactivate remains classic-only. Mode switch must refuse or warn if namespace config active.
P0,system,GET,/system/clients,system.clients,Gap,Core,build,,Hotspot client count. fpms2 homepage.
P0,system,GET,/system/ssid-passphrase,"utils.ssid; utils.ssid_passphrase",Gap,Core,build,,Hotspot/profiler credentials.
P0,system,GET,/system/service/status?name=,"orb.*; app.kismet.*; utils.freeradius.*",Live,Core,bind,,Query param name=. Allowed services list enforced. Uses systemd DBus — NOT legacy; keep.
P0,system,POST,/system/service/start?name=,app.kismet.start,Live,Core,bind,,
P0,system,POST,/system/service/stop?name=,"orb.*.stop; app.kismet.stop",Live,Core,bind,,
P0,system,POST,/system/service/restart?name=,"orb.*.restart; app.kismet.restart; utils.freeradius.restart",Live,Core,bind,,systemd DBus RestartUnit. Allowed services gate.
P0,network,GET,/network/info/,"network.lldp; network.cdp; network.public_ipv4; network.interfaces.*",Live,Core,bind,,Aggregated document. IPv4 public IP included.
